Authors	Author full names	Author(s) ID	Title	Year	Source title	Volume	Issue	Art. No.	Page start	Page end	Page count	DOI	Link	Abstract	Document Type	Source
Claro Gomes W.P.; Gonçalves Bortoleto G.; Melchert W.R.	Claro Gomes, Winston Pinheiro (58665808800); Gonçalves Bortoleto, Gisele (58665013800); Melchert, Wanessa R. (6506992915)	58665808800; 58665013800; 6506992915	Spectrophotometry and chromatography analyses combined with chemometrics tools to differentiate green coffee beans into special or traditional	2023	Journal of Food Science	88	12		5012	5025	13	10.1111/1750-3841.16807	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174895506&doi=10.1111%2f1750-3841.16807&partnerID=40&md5=42941e558c8519f561e7b77e7248643b	Green coffee is the hulled coffee bean, rich in chemical compounds indicative of quality before roasting, making the classification special or traditional. This work aimed to determine compounds in green coffee beans and find the differentiation of green coffee beans into special or traditional ones through chemometrics. For that, the levels of phenolic compounds, reducing, nonreducing, and total sugars were quantified by spectrophotometry: caffeine, trigonelline, 5-hydroxymethylfurfural (5-HMF), 3-hydroxybenzoic, 4-hydroxybenzoic, chlorogenic, caffeic, and nicotinic acids (NAs) by high-performance liquid chromatography–UV–Vis; acetaldehyde, acetone, methanol, ethanol, and isoamyl by HS-GC-FID. Principal component analysis (PCA) was used to differentiate green coffee beans through the levels obtained in spectrophotometric and chromatographic analyses. Statistically, the contents of total phenolic compounds, caffeine, nonreducing sugars, total sugars, NA, 5-HMF, acetaldehyde, ethanol, and ethanol/methanol showed significant differences. The PCA made it possible to classify green coffee beans into special and traditional, in addition to understanding the attributes that influenced the differentiation between coffees. In addition, it was possible to classify green coffee beans into special and traditional, either using all parameters evaluated or only using spectrophotometric analyses. In this way, some advantages allow classification without using a trained and experienced evaluator as their previous experience can influence the results due to their expertise in a certain type of coffee, in addition to being faster and cheaper, especially regarding spectrophotometric analyses. © 2023 Institute of Food Technologists.	Article	Scopus
dos Santos S.R.; Schellekens J.; Buurman P.; Cornelis J.-T.; Vancampenhout K.; da Silva W.T.L.; de Camargo P.B.; Vidal-Torrado P.	dos Santos, Sara Ramos (56973595300); Schellekens, Judith (15077252900); Buurman, Peter (7003743009); Cornelis, Jean-Thomas (33867525500); Vancampenhout, Karen (12791710200); da Silva, Wilson Tadeu Lopes (7007013237); de Camargo, Plínio Barbosa (7004416841); Vidal-Torrado, Pablo (8715228000)	56973595300; 15077252900; 7003743009; 33867525500; 12791710200; 7007013237; 7004416841; 8715228000	Selective sorption and desorption of DOM in Podzol horizons — DOC and aluminium contents of leachates from a column experiment	2023	Science of the Total Environment	872		162234				10.1016/j.scitotenv.2023.162234	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148017567&doi=10.1016%2fj.scitotenv.2023.162234&partnerID=40&md5=b1ac50b2118791f46a70cfe2b3033bda	Complexation of dissolved organic matter (DOM) with cations and minerals contributes to the stabilization of carbon in soils, and can enable the transport of metals in the environment. Hence, a proper understanding of mechanisms that control DOM binding properties in the soil is important for major environmental challenges, such as climate change and stream pollution. However, the role of DOM source in those mechanisms remains understudied. Here, we consider poorly drained tropical Podzols as a model environment to isolate effects of aluminium and DOM on sorption and desorption processes in podzolisation. We collected E- and Bh-horizons from a Brazilian coastal Podzol under tropical rainforest to conduct a column experiment, and percolated the columns with DOM collected from a stream (Stream), peat water (Peat), litter (Litter) and charred litter (Char). To quantify sorption and desorption from the columns, leachates were analysed for DOC content, aluminium content, pH, and the amount of fulvic acid relative to humic acid. The results showed large differences in DOC retention between DOM-types, which were consistent over all columns. Retention of DOC in the column varied between 25 % and 92 % for DOM-type Stream, between 33 % and 63 % for DOM-type Peat, between 22 % and 47 % for DOM-type Litter, and between 8 % and 49 % for DOM-type Char. Similarly, desorption from columns with B-horizon material highly differed between DOM-types. Percolation with DOM-types Stream and Peat caused a release of native DOC from B columns that was higher than in those percolated with water only. On the other hand, percolation of B columns with DOM-types Litter and Char caused a net DOC retention. These differences reflect that certain DOM-types hindered desorption, while other DOM-types caused active desorption. The large differences in sorption/desorption between DOM-types implies that changes in environmental conditions may highly influence the fate of soil carbon in Podzols. © 2023 Elsevier B.V.	Article	Scopus
Araujo F.F.; Salvador G.L.O.; Lupatini G.C.; Pereira A.P.D.A.; Costa R.M.; de Aviz R.O.; de Alcantara Neto F.; Mendes L.W.; Araujo A.S.F.	Araujo, Fabio Fernando (8075550000); Salvador, Gabriela Lozano Olivério (57642790100); Lupatini, Gelci Carlos (6602663428); Pereira, Arthur Prudêncio de Araujo (57222395412); Costa, Romário Martins (57222553260); de Aviz, Rhaiana Oliveira (57953780800); de Alcantara Neto, Franscisco (48361687600); Mendes, Lucas William (54583835000); Araujo, Ademir Sergio Ferreira (16238075200)	8075550000; 57642790100; 6602663428; 57222395412; 57222553260; 57953780800; 48361687600; 54583835000; 16238075200	Exploring the diversity and composition of soil microbial communities in different soybean-maize management systems	2023	Microbiological Research	274		127435				10.1016/j.micres.2023.127435	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162186086&doi=10.1016%2fj.micres.2023.127435&partnerID=40&md5=3274a31f086c36f456417e1973142e05	Soybean-maize are cultivated in different management systems, such as no-tillage and pastures, which presents potential to add organic residues, and it can potentially impacts the soil microbial community present in these systems. Thus, this study aimed to examine the effects of different soybean-maize management practices on the diversity and composition of soil microbial communities. Specifically, 16 S rRNA amplicon sequencing was used to investigate whether the use of pasture species in a fallowing system influences microbial communities in a soybean-maize rotation system, as compared to conventional tillage and no-tillage systems. The results indicate that the inclusion of the pasture species Urochloa brizantha in soybean-maize management systems leads to distinct responses within the soil microbial community. It was found that different soybean-maize management systems, particularly those with U. brizantha, affected the microbial community, likely due to the management applied to this pasture species. The system with 3 years of fallowing before soybean-maize showed the lowest microbial richness (∼2000 operational taxonomic units) and diversity index (∼6.0). Proteobacteria (∼30%), Acidobacteria (∼15%), and Verrucomicrobia (∼10%) were found to be the most abundant phyla in the soil under tropical native vegetation, while soils under cropland had an increased abundance of Firmicutes (∼30% to ∼50%) and Actinobacteria (∼30% to ∼35%). To summarize, this study identified the impacts of various soybean-maize management practices on the soil microbial community and emphasized the advantages of adding U. brizantha as a fallow species. © 2023 Elsevier GmbH	Article	Scopus
Kuneski A.C.; Loss A.; Ventura B.S.; Santos T.S.D.; Giumbelli L.D.; Lima A.P.; Piccolo M.D.C.; Torres J.L.R.; Brunetto G.; Kurtz C.; Lourenzi C.R.; Comin J.J.	Kuneski, Ana Carla (56499384200); Loss, Arcângelo (14319379500); Ventura, Barbara Santos (55540647400); Santos, Thiago Stacowski dos (57213232427); Giumbelli, Lucas Dupont (57203923101); Lima, Andria Paula (57196043109); Piccolo, Marisa de Cássia (35594448400); Torres, José Luiz Rodrigues (14625531300); Brunetto, Gustavo (6508089504); Kurtz, Claudinei (36084788400); Lourenzi, Cledimar Rogério (16239113200); Comin, Jucinei José (6602532819)	56499384200; 14319379500; 55540647400; 57213232427; 57203923101; 57196043109; 35594448400; 14625531300; 6508089504; 36084788400; 16239113200; 6602532819	Effects of Tillage and Cover Crops on Total Carbon and Nitrogen Stocks and Particle-Size Fractions of Soil Organic Matter under Onion Crop	2023	Horticulturae	9	7	822				10.3390/horticulturae9070822	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166301895&doi=10.3390%2fhorticulturae9070822&partnerID=40&md5=b5efee3cb3de502a72d8f53a4f7ac1a9	Onion (Allium cepa L.) is a food crop of economic importance. In Brazil, the crop typically occurs in a conventional tillage system (CT), which favors the mineralization and decomposition of soil organic matter (SOM) and the loss of carbon (C) and nitrogen (N). On the other hand, the no-tillage vegetable system (NTVS) operates based on sustainable pillars and bypasses the adverse effects of CT. This study evaluated the total C and N stocks and particle-size fractions of SOM in NTVS with single and intercropped cover plants compared to vegetable crops under CT. The NTVS evaluated treatments were as follows: (1) spontaneous vegetation (SV); (2) black oats (BO); (3) rye (RY); (4) oilseed radish (OR); (5) RY + OR; and (6) BO + OR. A treatment under CT with millet cover, a no-tillage system with (NTS) millet + velvet + sunflower cover, and a forested area as the original condition was also evaluated. Soil samples were collected in 0–5, 5–10, and 10–30 cm layers. Stocks of total organic C (TOC), total N (TN), particulate OC (POC), particulate N (PN), mineral-associated OC (MAOC), and mineral-associated N (MN) were evaluated. The highest stocks of TOC, TN, POC, and NM were found in NTVS compared to CT, and RY + OR showed the best results. The NTVS showed higher TOC and TN stocks with grasses and cruciferous intercropped than NTVS with SV and CT. POC and PN stocks increased in areas with single and intercropped RY and OR treatments. MAOC and MN stocks were higher than forest in RY + OR intercrop in the topsoil layer. RY and OR intercrop efficiently added C and N to the soil under NTVS. The consortium of millet + velvet + sunflower in NTS showed higher TOC, TN, POC, and PN stocks compared to the other treatments (0–5 and 0–30 cm). In general, the intercrop of cover plants is ideal for obtaining the NTVS maximum potential, favoring several mechanisms between soil, plant, and atmosphere, resulting in improved soil quality, increased organic matter, and higher stocks of C and N. © 2023 by the authors.	Article	Scopus
Jacinavicius F.R.; Geraldes V.; Fernandes K.; Crnkovic C.M.; Gama W.A.; Pinto E.	Jacinavicius, Fernanda R. (41861770900); Geraldes, Vanessa (57213625316); Fernandes, Kelly (57205223231); Crnkovic, Camila M. (57195685686); Gama, Watson A. (41861380500); Pinto, Ernani (7007078512)	41861770900; 57213625316; 57205223231; 57195685686; 41861380500; 7007078512	Toxicological effects of cyanobacterial metabolites on zebrafish larval development	2023	Harmful Algae	125		102430				10.1016/j.hal.2023.102430	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151262343&doi=10.1016%2fj.hal.2023.102430&partnerID=40&md5=d31651a468c33ae4168958e7ac52a56c	Freshwater cyanobacteria are known worldwide for their potential to produce toxins. However, these organisms are also found in marine, terrestrial and extreme environments and produce unique compounds, other than toxins. Nevertheless, their effects on biological systems are still barely known. This work tested extracts of different cyanobacterial strains against zebrafish (Danio rerio) larvae and analyzed their metabolomic profiles using liquid chromatography combined with mass spectrometry. Strains Desertifilum tharense, Anagnostidinema amphibium, and Nostoc sp. promoted morphological abnormalities such as pericardial edema, edema in the digestive system region, curvature of the tail and spine in zebrafish larvae in vivo. In contrast, Microcystis aeruginosa and Chlorogloeopsis sp. did not promote such changes. Metabolomics revealed unique compounds belonging to the classes of terpenoids, peptides, and linear lipopeptides/microginins in the nontoxic strains. The toxic strains were shown to contain unique compounds belonging to the classes of cyclic peptides, amino acids and other peptides, anabaenopeptins, lipopeptides, terpenoids, and alkaloids and derivatives. Other unknown compounds were also detected, highlighting the rich structural diversity of secondary metabolites produced by cyanobacteria. The effects of cyanobacterial metabolites on living organisms, mainly those related to potential human and ecotoxicological risks, are still poorly known. This work highlights the diverse, complex, and unique metabolomic profiles of cyanobacteria and the biotechnological potential and associated risks of exposure to their metabolites. © 2023 Elsevier B.V.	Article	Scopus
Braga L.P.P.; Tanentzap A.J.; Lee B.; Tsai S.M.; Raaijmakers J.M.; Mendes R.; Mendes L.W.	Braga, Lucas P.P. (56717355100); Tanentzap, Andrew J. (16444969800); Lee, Benjamin (57205181012); Tsai, Siu Mui (7403478681); Raaijmakers, Jos M. (7005763226); Mendes, Rodrigo (56513356700); Mendes, Lucas W. (54583835000)	56717355100; 16444969800; 57205181012; 7403478681; 7005763226; 56513356700; 54583835000	Diversity of viruses and viroids in the rhizosphere of common bean cultivars differing in resistance to the fungal root pathogen Fusarium oxysporum	2023	Applied Soil Ecology	190		105018				10.1016/j.apsoil.2023.105018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163197860&doi=10.1016%2fj.apsoil.2023.105018&partnerID=40&md5=3bfda1df4c7569b368bfc6785bb8c1b3	The rhizosphere microbiome plays a key role in plant protection against soil-borne pathogens. Plant breeding for resistance against soil-borne pathogens can alter the rhizosphere microbiome. However, most studies have focused on bacterial and fungal communities, leaving the role of the virus and viroids unassessed. Here, we tested the influence of resistance breeding on the composition of rhizosphere viruses and viroids. By analyzing metatranscriptomes from the rhizosphere of common bean (Phaseolus vulgaris) cultivars with varying resistance to the soil-borne pathogen Fusarium oxysporum, we recovered sequences representing 78 and 23 novel populations of viruses and viroids, respectively. We compared the abundances of these infectious agents across the different cultivars and found that the Fusarium-resistant cultivar harbored >1.2 times more viroids and a more different composition of viroids and viruses than less resistant plants. Given their role in interfering with host metabolism and their potential influence on plant-fungi associations, our study suggests that changes in the rhizosphere infectome are an important consideration in breeding for resistance against soil-borne pathogens. © 2023 The Authors	Article	Scopus
Kimura L.T.; Andrade E.R.; Nobre I.; Nobre C.A.; de Medeiros B.A.S.; Riaño-Pachón D.M.; Shiraishi F.K.; Carvalho T.C.M.B.; Simplicio M.A., Jr.	Kimura, Leonardo T. (58159043800); Andrade, Ewerton R. (56178569100); Nobre, Ismael (57337705500); Nobre, Carlos A. (7004027377); de Medeiros, Bruno A. S. (55761677700); Riaño-Pachón, Diego M. (8609853200); Shiraishi, Felipe K. (58158487000); Carvalho, Tereza C. M. B. (7005958557); Simplicio, Marcos A. (29167480300)	58159043800; 56178569100; 57337705500; 7004027377; 55761677700; 8609853200; 58158487000; 7005958557; 29167480300	Amazon Biobank: a collaborative genetic database for bioeconomy development	2023	Functional and Integrative Genomics	23	2	101				10.1007/s10142-023-01015-1	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150942573&doi=10.1007%2fs10142-023-01015-1&partnerID=40&md5=f4fb6a6e454fd31445053b1fb08a0f40	Biodiversity is proposed as a sustainable alternative for the economic development of high-biodiversity regions. Especially in the field of biodiversity genomics, the development of low-cost DNA sequencing opens an opportunity for new actors beyond academia to engage in genomic sequencing. However, it is challenging to adequately compensate non-academic actors such as local populations for their contribution to the innovation process, preventing better bioeconomy development. Although many repositories register genomic data to support biodiversity research, they do not facilitate the fair sharing of economic benefits. In this work, we propose the creation of the Amazon Biobank, a community-based genetic database. We employed blockchain to build a transparent and verifiable log of transactions involving genomic data, and we used smart contracts to implement an internal monetary system for all participants who collect, insert, process, store, and validate genomic data. We also used peer-to-peer solutions to allow users with commodity computers to collaborate with the storage and distribution of DNA files. By combining emerging technologies, Amazon Biobank provides adequate benefit-sharing among all participants that collaborate with data, knowledge, and computational resources. It also provides traceability and auditability, allowing easy association between biotechnological research and DNA data. In addition, the solution is highly scalable and less dependent on the trust deposited in any system player. Therefore, Amazon Biobank can become an important stepping stone to unlock the potential of bioeconomy in rich ecosystems such as the Amazon Rainforest. © 2023, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.	Article	Scopus
Araújo L.D.S.; Correia N.M.; Tornisielo V.L.; Labate M.T.V.; Tsai S.M.; Carbonari C.A.; Filho R.V.	Araújo, Lucas Da Silva (56900700400); Correia, Núbia Maria (35336545400); Tornisielo, Valdemar Luiz (6602337941); Labate, Mônica Teresa Veneziano (8348318700); Tsai, Siu Mui (7403478681); Carbonari, Caio Antônio (16238228000); Filho, Ricardo Victoria (57214734752)	56900700400; 35336545400; 6602337941; 8348318700; 7403478681; 16238228000; 57214734752	Goosegrass (Eleusine indica) resistant to multiple herbicide modes of action in Brazil	2023	Weed Science	71	3		189	197	8	10.1017/wsc.2023.18	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153949527&doi=10.1017%2fwsc.2023.18&partnerID=40&md5=0d115ccd876725f27b56661fa1cd26d8	This study was developed based on a goosegrass [Eleusine indica (L.) Gaertn.] population from Primavera do Leste, MT, Brazil, with resistance to multiple herbicide modes of action (5-enolpyruvylshikimate-3-phosphate synthase [EPSPS] inhibition: glyphosate; acetyl-coenzyme A carboxylase [ACCase] inhibition: aryloxyphenoxypropionate chemical group). The objective was to identify possible mechanisms of resistance associated or not with herbicide sites of action. Several experiments and analyses were carried out with the contribution of different laboratories and institutions. The results obtained allowed us to conclude that: (1) the Asp-2078-Gly mutation conferred resistance to ACCase inhibitors, without overexpression of ACCase or changes in herbicide absorption and translocation; (2) overexpression of EPSPS, Thr-102 and Pro-106 mutations, and changes in absorption and translocation are not involved in E. indica resistance to glyphosate; (3) the metabolism of glyphosate in resistant E. indica plants requires further studies to elucidate the final destination of this herbicide in these plants. The mechanism of resistance of E. indica biotypes to ACCase-inhibiting herbicides was elucidated: it involves a change in the action site. However, the mechanism of resistance to EPSPS inhibitors was not conclusive, indicating that some hypotheses, mainly those regarding the metabolism of glyphosate in resistant plants, require further testing.  © The Author(s), 2023. Published by Cambridge University Press on behalf of the Weed Science Society of America.	Review	Scopus
Leite M.R.L.; de Alcantara Neto F.; Dutra A.F.; Mendes L.W.; Antunes J.E.L.; Melo V.M.M.; Oliveira F.A.S.; Rocha S.M.B.; Pereira A.P.D.A.; Prado R.D.M.; Araujo A.S.F.	Leite, Marcos Renan Lima (57205333897); de Alcantara Neto, Francisco (48361687600); Dutra, Alexson Filgueiras (44861183800); Mendes, Lucas William (54583835000); Antunes, Jadson Emanuel Lopes (36616874700); Melo, Vania Maria Maciel (35600845900); Oliveira, Francisca Andrea Silva (57203076502); Rocha, Sandra Mara Barbosa (57190185616); Pereira, Arthur Prudêncio de Araujo (57222395412); Prado, Renato de Mello (35616322400); Araujo, Ademir Sérgio Ferreira (16238075200)	57205333897; 48361687600; 44861183800; 54583835000; 36616874700; 35600845900; 57203076502; 57190185616; 57222395412; 35616322400; 16238075200	Silicon application influences the prokaryotic communities in the rhizosphere of sugarcane genotypes	2023	Applied Soil Ecology	187		104818				10.1016/j.apsoil.2023.104818	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148336018&doi=10.1016%2fj.apsoil.2023.104818&partnerID=40&md5=7848767526cc03cc8302c0177467b0e7	Silicon (Si) is beneficial to sugarcane production and its application in the soil can influence the microbial communities in the rhizosphere of sugarcane. However, it is unclear how the microbial communities in the rhizosphere of different sugarcane genotypes respond to Si application. This study assessed the effect of Si application on the prokaryotic communities in the rhizosphere of three sugarcane genotypes (RB021754, RB036066, RB92579) during the stages of plant cane and ratoon, through the 16S rRNA gene sequencing. The composition of prokaryotic communities varied by comparing genotypes and Si application in both plant cane and ratoon. In the sugarcane plant, the relative abundance of Planctomycetes and Gemmatimonadetes decreased in the rhizosphere of genotype RB021754, while the relative abundance of Proteobacteria increased in the rhizosphere of genotype RB92579 with Si application. Regarding ratoon cane, the relative abundance of Acidobacteria, Thaumarchaeota, and Planctomycetes increased in the rhizosphere of genotypes RB021754, RB036066, and RB92579, respectively, after Si application. At the genus level, Catenulispora, Sphingoaurantiacus, Luteitalea, and Flavisolbacter presented a positive correlation with Si application, while Alloprevotella, Gaiella, Sporomomusa, and Tahibacter presented a negative correlation. Also, there was an enrichment of N-fixers and plant growth-promoter microbes after Si application. This study has shown that Si application affected prokaryotic diversity and changed the abundance of specific microbial groups, which varied according to different genotypes. © 2023 Elsevier B.V.	Article	Scopus
Mendes L.W.; Raaijmakers J.M.; de Hollander M.; Sepo E.; Gómez Expósito R.; Chiorato A.F.; Mendes R.; Tsai S.M.; Carrión V.J.	Mendes, Lucas William (54583835000); Raaijmakers, Jos M (7005763226); de Hollander, Mattias (24166120100); Sepo, Edis (58528590800); Gómez Expósito, Ruth (57211540562); Chiorato, Alisson Fernando (12784957500); Mendes, Rodrigo (56513356700); Tsai, Siu Mui (7403478681); Carrión, Victor J (55085006200)	54583835000; 7005763226; 24166120100; 58528590800; 57211540562; 12784957500; 56513356700; 7403478681; 55085006200	Impact of the fungal pathogen Fusarium oxysporum on the taxonomic and functional diversity of the common bean root microbiome	2023	Environmental Microbiome	18	1	68				10.1186/s40793-023-00524-7	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167404576&doi=10.1186%2fs40793-023-00524-7&partnerID=40&md5=ebb5be87730ea43c86d651672955c2b7	Background: Plants rely on their root microbiome as the first line of defense against soil-borne fungal pathogens. The abundance and activities of beneficial root microbial taxa at the time prior to and during fungal infection are key to their protective success. If and how invading fungal root pathogens can disrupt microbiome assembly and gene expression is still largely unknown. Here, we investigated the impact of the fungal pathogen Fusarium oxysporum (fox) on the assembly of rhizosphere and endosphere microbiomes of a fox-susceptible and fox-resistant common bean cultivar. Results: Integration of 16S-amplicon, shotgun metagenome as well as metatranscriptome sequencing with community ecology analysis showed that fox infections significantly changed the composition and gene expression of the root microbiome in a cultivar-dependent manner. More specifically, fox infection led to increased microbial diversity, network complexity, and a higher proportion of the genera Flavobacterium, Bacillus, and Dyadobacter in the rhizosphere of the fox-resistant cultivar compared to the fox-susceptible cultivar. In the endosphere, root infection also led to changes in community assembly, with a higher abundance of the genera Sinorhizobium and Ensifer in the fox-resistant cultivar. Metagenome and metatranscriptome analyses further revealed the enrichment of terpene biosynthesis genes with a potential role in pathogen suppression in the fox-resistant cultivar upon fungal pathogen invasion. Conclusion: Collectively, these results revealed a cultivar-dependent enrichment of specific bacterial genera and the activation of putative disease-suppressive functions in the rhizosphere and endosphere microbiome of common bean under siege. © 2023, BioMed Central Ltd., part of Springer Nature.	Article	Scopus
