"word","freq"
"soil",356
"study",235
"plant",193
"can",191
"using",190
"showed",187
"effects",178
"plants",175
"microbial",172
"results",166
"used",159
"also",157
"different",157
"higher",155
"genes",153
"potential",152
"analysis",148
"water",141
"increased",136
"production",135
"species",135
"however",133
"activity",133
"high",123
"community",120
"two",119
"growth",118
"elsevier",118
"data",116
"sugarcane",112
"soils",112
"gene",111
"bacterial",110
"rights",109
"reserved",108
"may",101
"development",101
"evaluated",101
"compounds",101
"compared",100
"total",99
"environmental",99
"concentrations",98
"application",95
"samples",95
"use",94
"control",94
"found",94
"observed",93
"based",92
"related",90
"diversity",87
"changes",86
"forest",86
"conditions",85
"concentration",83
"brazilian",83
"strains",82
"levels",81
"evaluate",81
"organic",81
"authors",80
"carbon",80
"effect",80
"toxicity",80
"one",80
"acid",80
"important",79
"three",78
"expression",77
"well",77
"identified",76
"biological",76
"respectively",76
"tropical",76
"food",75
"cyanobacteria",75
"low",74
"chemical",74
"content",73
"thus",72
"protein",71
"antioxidant",71
"due",70
"present",70
"leaf",69
"including",68
"model",67
"studies",67
"associated",67
"metabolism",67
"significant",66
"structure",66
"groups",66
"systems",65
"revealed",65
"composition",65
"addition",65
"acids",64
"leaves",63
"cell",63
"biomass",63
"metabolites",63
"stress",63
"applied",63
"exposure",62
"brazil",62
"presented",62
"extract",62
"nitrogen",61
"among",61
"work",61
"time",61
"communities",61
"soybean",61
"several",60
"produced",60
"human",60
"new",60
"quality",60
"efficiency",59
"presence",59
"natural",58
"role",58
"increase",57
"secondary",57
"lower",57
"methane",57
"involved",56
"ltd",56
"performed",56
"metabolic",56
"approach",56
"functional",55
"parameters",55
"strain",55
"values",55
"properties",55
"treatments",55
"lambs",55
"analyses",54
"processes",54
"abundance",54
"dry",54
"system",53
"response",53
"uptake",53
"analyzed",53
"decreased",53
"group",53
"method",53
"treatment",53
"genetic",51
"tomato",51
"activities",51
"sequencing",51
"diet",51
"health",51
"cells",51
"mechanisms",50
"genome",50
"cyanobacterial",50
"rhizosphere",50
"molecular",49
"physiological",49
"differences",49
"products",49
"increasing",49
"aquatic",49
"known",48
"reduced",48
"investigated",48
"without",48
"functions",48
"interactions",48
"nature",48
"therefore",48
"four",48
"pasture",48
"capacity",47
"environment",47
"first",47
"aimed",47
"published",46
"rate",46
"main",46
"vitro",46
"affected",46
"highly",45
"root",45
"days",45
"profile",45
"highest",45
"mixture",45
"affect",44
"fish",44
"roots",43
"springer",43
"similar",43
"herbicides",43
"seed",43
"better",42
"formation",42
"understanding",42
"surface",42
"amino",42
"change",42
"accumulation",42
"infected",42
"management",42
"rates",42
"performance",42
"collected",42
"animals",42
"suggest",41
"investigate",41
"identify",41
"process",41
"within",41
"toxic",41
"eucalyptus",41
"seeds",41
"areas",40
"findings",40
"source",40
"environments",40
"infection",40
"detected",40
"isolated",40
"obtained",40
"information",40
"maize",40
"xray",40
"agricultural",39
"supply",39
"proteins",39
"field",39
"animal",39
"matter",39
"oil",39
"provide",38
"genotypes",38
"combined",38
"amazon",38
"mass",38
"specific",37
"yield",37
"greater",37
"exclusive",37
"factors",37
"rice",37
"emissions",37
"importance",36
"research",36
"influence",36
"caused",36
"indicated",36
"interaction",36
"responses",35
"part",35
"level",35
"models",35
"impact",35
"microbiome",35
"exposed",35
"reduction",34
"exhibited",34
"determined",34
"significantly",34
"alternative",34
"organisms",34
"distribution",34
"mainly",34
"absorption",34
"herbicide",34
"function",33
"light",33
"key",33
"since",33
"society",33
"area",33
"applications",33
"bacteria",33
"tested",33
"regions",33
"risk",33
"microorganisms",33
"methods",33
"techniques",33
"crop",32
"according",32
"indicating",32
"gas",32
"larvae",32
"ecosystems",32
"nutrient",32
"degradation",32
"period",32
"p  ",32
"novel",31
"size",31
"characterized",31
"assembly",31
"show",31
"biosynthesis",31
"developed",31
"sources",31
"primary",31
"fatty",31
"assessed",31
"seedlings",31
"essential",30
"strategies",30
"although",30
"ecological",30
"genomes",30
"consumption",30
"rrna",30
"objective",30
"phenolic",30
"availability",29
"region",29
"weight",29
"major",29
"decrease",29
"resistance",29
"pathways",29
"fungi",29
"positive",29
"tissues",29
"distinct",29
"relative",29
"native",29
"improve",29
"sequences",29
"complex",29
"cottonseed",29
"crops",28
"large",28
"drought",28
"moreover",28
"produce",28
"overall",28
"even",28
"tissue",28
"activation",28
"promising",28
"temperature",28
"average",28
"still",28
"treated",28
"number",27
"previously",27
"mechanism",27
"tolerance",27
"damage",27
"contribute",27
"oxidative",27
"furthermore",27
"active",27
"nutritional",27
"patterns",27
"assess",27
"conversion",27
"beneficial",27
"ecosystem",27
"δc",27
"sorption",27
"demonstrated",26
"aβ",26
"suggesting",26
"reported",26
"energy",26
"licence",26
"profiles",26
"approaches",26
"considered",26
"impacts",26
"imi",26
"intake",26
"behavior",26
"materials",26
"less",25
"grown",25
"containing",25
"possible",25
"genera",25
"improved",25
"general",25
"lakes",25
"extracts",25
"value",25
"acute",25
"alone",25
"longterm",25
"forests",25
"blood",25
"cts",25
"glyphosate",25
"spp",24
"many",24
"conducted",24
"translocation",24
"density",24
"gmbh",24
"sequence",24
"fluorescence",24
"photosynthetic",24
"induced",24
"studied",24
"body",24
"network",24
"carried",24
"limited",24
"dna",24
"times",24
"extraction",24
"reducing",24
"five",24
"spectrometry",24
"taxonomic",24
"conventional",24
"δn",24
"nanoparticles",24
"help",23
"coupled",23
"correlated",23
"stable",23
"efficient",23
"taxa",23
"genomic",23
"dynamics",23
"corn",23
"commercial",23
"yet",23
"sustainable",23
"enzymes",23
"type",23
"reduce",23
"inc",23
"lipid",23
"iron",23
"‰",23
"day",23
"gossypol",23
"meal",23
"sdz",23
"imaging",23
"corona",23
"expressed",22
"shoots",22
"via",22
"breeding",22
"critical",22
"cultivars",22
"understand",22
"insect",22
"available",22
"status",22
"range",22
"feeding",22
"ability",22
"together",22
"maximum",22
"along",22
"identification",22
"elements",22
"following",22
"restoration",22
"indicate",21
"regarding",21
"transport",21
"relevant",21
"provides",21
"order",21
"nitrate",21
"sampling",21
"types",21
"influenced",21
"effective",21
"cultivated",21
"survival",21
"abundant",21
"resources",21
"enzyme",21
"knowledge",21
"especially",21
"diverse",21
"considering",21
"freshwater",21
"culture",21
"bioactive",21
"proportion",21
"attributes",21
"desorption",21
"beef",21
"described",20
"led",20
"disease",20
"shoot",20
"experimental",20
"whether",20
"solution",20
"stability",20
"host",20
"six",20
"amounts",20
"assessment",20
"occurrence",20
"biotechnological",20
"assays",20
"sites",20
"conclusion",20
"wide",20
"years",20
"great",20
"followed",20
"dietary",20
"often",20
"spectroscopy",20
" mg kg",20
"radiation",20
"vivo",20
"cat",20
"experiment",20
"dose",20
"land",20
"pgpb",20
"cowpea",20
"wild",19
"improving",19
"evidence",19
"inhibition",19
"zinc",19
"amount",19
"abiotic",19
"shown",19
"fungal",19
"phylogenetic",19
"previous",19
"strategy",19
"widely",19
"various",19
"industry",19
"microscopy",19
"crude",19
"morphology",19
"variation",19
"tree",19
"learning",19
"medium",19
"ratio",19
"complete",19
"diseases",19
"world",19
"poorly",19
"soda",19
"cyanotoxins",19
"classification",19
"characterization",19
"greenhouse",19
"archaeal",19
"practices",19
"colubriformis",19
"contortus",19
"productivity",19
"ivm",19
"future",18
"fruit",18
"lines",18
"traits",18
"might",18
"transcription",18
"aggregation",18
"stage",18
"structural",18
"correlation",18
"likely",18
"exchange",18
"towards",18
"genus",18
"larval",18
"fed",18
"monitoring",18
"selected",18
"common",18
"technologies",18
"machine",18
"biosynthetic",18
"male",18
"detection",18
"understood",18
"characteristics",18
"guanitoxin",18
"liquid",18
"global",18
"liver",18
"mineral",18
"material",18
"verified",18
" mgl",18
"negative",18
"physicochemical",18
"humans",18
"fluxes",18
"litter",18
"manure",18
"bulk",18
"supplementation",18
"regardless",18
"∼",18
"feed",18
"hexazinone",18
"propolis",18
"able",17
"particularly",17
"worldwide",17
"reproductive",17
"enrichment",17
"oxygen",17
"regulation",17
"altered",17
"whereas",17
"multiple",17
"recovery",17
"enhanced",17
"loss",17
"experiments",17
"determine",17
"absorbed",17
"agriculture",17
"dsrna",17
"features",17
"target",17
"markers",17
"potentially",17
"synthesis",17
"mortality",17
"database",17
"cellular",17
"demonstrate",17
"around",17
"periods",17
"resulting",17
"finally",17
"biodiversity",17
"proposed",17
"measured",17
"residues",17
"decreasing",17
"largest",17
"pathogen",17
"promote",17
"report",17
"spatial",17
"blooms",17
"emission",17
"cena",17
"technique",17
"leading",17
"contamination",17
"product",17
"assay",17
"fecal",17
"phosphorus",17
"muscle",17
"nematodes",17
"santa",17
"diets",17
"oxide",17
"biochar",17
"rzms",17
"soy",17
"grain",17
"retention",17
"dissipation",17
"images",17
"mwcnt",17
"little",16
"reactive",16
"saccharum",16
"fruits",16
"literature",16
"transcriptional",16
"combination",16
"driven",16
"fold",16
"state",16
"upregulated",16
"set",16
"useful",16
"upon",16
"rnai",16
"tool",16
"cause",16
"comparison",16
"aqueous",16
"either",16
"metal",16
"cultivation",16
"release",16
"unknown",16
"fermentation",16
"whole",16
"showing",16
"complexity",16
"phosphate",16
"climate",16
"sensitivity",16
"contaminated",16
"fraction",16
